2025 Market value,TOTAL MAIN AREA ( Sq. Ft),MAIN AREA (Sq. Ft),GARAGE (Sq. Ft),LAND (Sq. Ft)
735026,3462,3192,1063,10000
663907,3226,3226,1078,10463
569992,3036,3036,965,10000
602427,3277,2877,909,10625
550119,2582,2582,942,7749
709604,3147,3147,875,11633
480134,2842,2842,970,8206
467935,2382,2382,520,7749
610318,2925,2925,957,9821
534991,2806,2806,552,8057
645249,3219,3219,792,12611
511115,2636,2636,528,7749
498357,2527,2527,506,7749
491374,2444,2444,550,7785
511166,2652,2652,506,7587
418286,2252,2252,506,7792
580180,2902,2902,917,7714
570962,2743,2743,1119,7636
537870,2809,2809,529,7872
610407,3532,2148,528,7872
525573,2697,2697,575,7944
521957,2628,2628,550,7872
530604,2707,2707,552,7951
555046,2696,2696,914,7872
469131,2991,2991,552,7958
538374,2768,2768,528,7872
532125,2745,2745,487,7966
504815,2610,2610,525,7973
531620,2758,2758,528,7872
573558,2851,2851,918,7980
434345,2417,2417,484,7501
531703,2743,2743,484,7988
514098,2593,2593,528,8309
498815,2514,2514,550,7635
