Market Value,Total Main Area (Sq. Ft.),Main Area (Sq. Ft.),Garage (Sq. Ft.),Land (Sq. Ft.),# of Garages
735026,3462,"3,192",1063,"10,000",1
663907,3226,3226,1078,10463,2
569992,3036,3036,965,10000,3
602427,3277,2877,909,10625,1
460288,2241,2241,506,7785,1
968766,4188,2041,985,13788,2
550119,2582,2582,942,7749,2
709604,3147,3147,875,11633,2
580969,2910,2910,550,7749,1
480134,2842,2842,970,8206,2
467935,2382,2382,520,7749,1
610318,2925,2925,957,9821,2
1218146,4582,3097,1067,17505,2
534991,2806,2806,552,8057,1
645249,3219,3219,792,12611,1
511115,2636,2636,528,7749,1
594432,2962,2962,528,7795,1
498357,2527,2527,506,7749,1
491374,2444,2444,550,7785,1
570962,2743,2743,1119,7636,1
537870,2809,2809,529,7872,1
610407,3532,2148,528,7872,1
521957,2628,2628,550,7872,1
555046,2696,2696,914,7872,2
532125,2745,2745,487,7966,2
504815,2610,2610,525,7973,2
531620,2758,2758,528,7872,2
573558,2851,2851,918,7980,2
434345,2417,2417,484,7501,1
531703,2743,2743,484,7988,1
498815,2514,2514,550,7635,1
